deepgram_transcript,genesys_transcript,audio_wall_clock_end,genesys_received_at,true_latency_s,true_latency_ms,channel,similarity,deepgram_confidence,genesys_confidence
has prepared a statement. He will not be taking any questions. Thank,and now mister stark has prepared a statement he will not be taking any questions thank you,1774055678.5155008,1774055680.313447,1.7979,1797.9,EXTERNAL,0.841,1.0,0.85
it's been a while since I was in,it's been a while since i,1774055684.4855008,1774055685.752696,1.2672,1267.2,EXTERNAL,0.873,0.973,0.848
front of you. I figure I'll stick to your cards this time.,trying to do it figure out to your card this time,1774055687.125501,1774055689.541433,2.4159,2415.9,EXTERNAL,0.731,0.977,0.762
It is one thing when you question the official story and another thing entirely to make wild,it is one thing question the official story and another thing entirely to make wild accusations or insinuate that i am a superhero,1774055709.0755007,1774055718.83252,9.757,9757.0,EXTERNAL,0.748,0.993,0.858
"I I I'm just not the the hero type, clearly.",fantastic i'm just not the hero type clearly with this,1774055724.125501,1774055727.0036638,2.8782,2878.2,EXTERNAL,0.745,0.998,0.859
"With this laundry list of character defects, all the mistakes I made,",laundry listed character defects all the mistakes i made largely public,1774055728.885501,1774055732.1865652,3.3011,3301.1,EXTERNAL,0.783,0.994,0.873
Yeah.,yeah,1774055733.0755007,1774055734.420371,1.3449,1344.9,EXTERNAL,1.0,0.992,0.807
Truth is,true dish,1774055737.0655007,1774055738.6275752,1.5621,1562.1,EXTERNAL,0.706,0.993,0.671
You feel you've been rehabilitated.,feel you've been rehabilitated,1774055413.9539201,1774055415.085352,1.1314,1131.4,EXTERNAL,0.935,0.682,0.833
"Well, now let me see.",well no let me see,1774055421.11392,1774055422.4833999,1.3695,1369.5,EXTERNAL,0.973,0.99,0.802
"Know, I don't have any idea what that means.",you know i don't have any idea what,1774055425.12392,1774055425.887869,0.7639,763.9,EXTERNAL,0.8,1.0,0.94
"Well, that means you're ready to rejoin",what i mean you're ready to rejoin so,1774055429.46392,1774055432.966811,3.5029,3502.9,EXTERNAL,0.849,0.991,0.837
"To me, it's just a made up word.",to me it's just a made up wood,1774055436.22392,1774055437.4291232,1.2052,1205.2,EXTERNAL,0.966,0.938,0.724
A politician's word. So,politicians were so,1774055439.72392,1774055441.093097,1.3692,1369.2,EXTERNAL,0.85,0.893,0.595
young fellas like yourself can wear a suit and a tie.,young fellows like yourself can wear a suit and a tie,1774055443.843924,1774055445.151725,1.3078,1307.8,EXTERNAL,0.971,0.983,0.877
What do you really wanna know?,what do you really want to know,1774055449.78392,1774055450.709294,0.9254,925.4,EXTERNAL,0.9,0.996,0.83
Am I sorry for what I did?,am i sorry for what i did,1774055452.88392,1774055454.013597,1.1297,1129.7,EXTERNAL,1.0,1.0,0.851
But not a day goes by. Don't feel regret.,but not a day goes by i don't feel regret,1774055459.00392,1774055460.128296,1.1244,1124.4,EXTERNAL,0.974,0.981,0.838
"Not because I'm in here, because you think I should.",not because i'm in here because you think i should,1774055463.91392,1774055465.207047,1.2931,1293.1,EXTERNAL,1.0,0.997,0.906
Stupid kid who committed that terrible crime.,stupid kids have committed to that terrible crime,1774055477.63392,1774055478.839436,1.2055,1205.5,EXTERNAL,0.903,0.85,0.667
Okay.,okay,1774055492.90392,1774055494.056055,1.1521,1152.1,EXTERNAL,1.0,0.961,0.785
That's kids long gone.,as kids long gone,1774055497.33392,1774055498.760695,1.4268,1426.8,EXTERNAL,0.919,0.79,0.691
This old man is all that's left.,this old man is all this left,1774055501.04392,1774055502.1628091,1.1189,1118.9,EXTERNAL,0.949,0.984,0.611
I don't get this yet.,i don't get a,1774055520.90392,1774055521.960286,1.0564,1056.4,EXTERNAL,0.71,0.969,0.712
No code message to her before she took it.,no code matter to her before she okay,1774055139.3556159,1774055141.0833778,1.7278,1727.8,EXTERNAL,0.795,0.954,0.758
Request is for the state with the exception of the sheriff's American and presented themselves to the attendant to this court.,the witnesses for the state the exception of the sheriff encounter and presented themselves to this court,1774055158.5756178,1774055160.101751,1.5261,1526.1,EXTERNAL,0.777,0.933,0.78
And the cynical,the cynical,1774055162.0656178,1774055163.414216,1.3486,1348.6,EXTERNAL,0.846,0.972,0.603
go along with them on the assumption.,go along with them on the assumption,1774055175.195618,1774055176.45276,1.2571,1257.1,EXTERNAL,1.0,0.988,0.656
