deepgram_transcript,genesys_transcript,audio_wall_clock_end,genesys_received_at,true_latency_s,true_latency_ms,channel,similarity
I really felt quite distressed at not receiving an invitation. You weren't want,oh great even the rabble i really felt quite distressed at not receiving an invitation you weren't wanting not oh oh dear what an awkward situation i had hoped it was merely due to some oversight,1773861884.6494603,1773861896.586646,11.9372,11937.2,EXTERNAL,0.568
"You bug, you knob, you button head. Know that I glory in this note of mine.",thurity small my nose why magnificent my nose you pug you not you button head know that i glory in this nose of mine for the great nose indicates a great man genial,1773861478.198265,1773861484.177415,5.9791,5979.1,EXTERNAL,0.57
"intellectual, merrill, courageous,",intellectual mural courageous,1773861485.928266,1773861487.331554,1.4033,1403.3,EXTERNAL,0.9
"Presently, this fellow will grow tired. Oh, he blows his horn.",my left foot presently this fellow will grow tire oh he blows his horn well will no one put him in his place if you will allow me observe list you,1773861516.8382661,1773861529.7212238,12.883,12883.0,EXTERNAL,0.559
Your nose is rather large.,your nose your nose is rather large,1773861531.768266,1773861533.3816462,1.6134,1613.4,EXTERNAL,0.833
"Why, you might have said a great many things. Why waste your opportunity?",rather oh well is that all well of course no young sir you're too simple why you might have said a great many things why waste your opportunity for example thus i,1773861545.228266,1773861549.774059,4.5458,4545.8,EXTERNAL,0.606
"For example, thus, our dreadnip. I said if that nose were mine, I'd have it as",i sort of that nose were mine i'd have it amputated on the spot,1773861550.2882612,1773861553.28386,2.9956,2995.6,EXTERNAL,0.578
How do you drink with such a nose? You must have had a cup made especially.,practical how do you drink with such a nose you must have had a cup made especially descriptive just a rock a crag a cape a cape,1773861556.918266,1773861564.358946,7.4407,7440.7,EXTERNAL,0.726
A cape? Say rather a peninsula.,say rather a peninsula,1773861565.728271,1773861567.2364218,1.5082,1508.2,EXTERNAL,0.863
"top heavy, eloquent. When it blows, the typhoon howls",eloquent when it goes the typhoon howls and the clouds darken,1773861588.288266,1773861591.2297978,2.9415,2941.5,EXTERNAL,0.667
