deepgram_transcript,genesys_transcript,audio_wall_clock_end,genesys_received_at,true_latency_s,true_latency_ms,channel,similarity,deepgram_confidence,genesys_confidence
has prepared a statement. He will not be taking any questions. Thank,and now mister stark has prepared a statement he will not be taking any questions thank you,1774055678.5155008,1774055680.576558,2.0611,2061.1,EXTERNAL,0.841,1.0,0.85
it's been a while since I was in,it's been a while since i,1774055684.4855008,1774055685.9230561,1.4376,1437.6,EXTERNAL,0.873,0.973,0.848
front of you. I figure I'll stick to your cards this time.,trying to do it figure out to your card this time,1774055687.125501,1774055689.742285,2.6168,2616.8,EXTERNAL,0.731,0.977,0.762
It is one thing when you question the official story and another thing entirely to make wild,it is one thing question the official story and another thing entirely to make wild accusations or insinuate that i am a superhero,1774055709.0755007,1774055719.095822,10.0203,10020.3,EXTERNAL,0.748,0.993,0.858
"I I I'm just not the the hero type, clearly.",fantastic i'm just not the hero type clearly with this,1774055724.125501,1774055727.1313941,3.0059,3005.9,EXTERNAL,0.745,0.998,0.859
"With this laundry list of character defects, all the mistakes I made,",laundry listed character defects all the mistakes i made largely public,1774055728.885501,1774055732.342975,3.4575,3457.5,EXTERNAL,0.783,0.994,0.873
Yeah.,yeah,1774055733.0755007,1774055734.588562,1.5131,1513.1,EXTERNAL,1.0,0.992,0.807
Truth is,true dish,1774055737.0655007,1774055738.791276,1.7258,1725.8,EXTERNAL,0.706,0.993,0.671
You feel you've been rehabilitated.,feel you've been rehabilitated,1774055413.9539201,1774055415.4011211,1.4472,1447.2,EXTERNAL,0.935,0.682,0.833
"Well, now let me see.",well no let me see,1774055421.11392,1774055422.7523782,1.6385,1638.5,EXTERNAL,0.973,0.99,0.802
"Know, I don't have any idea what that means.",you know i don't have any idea what,1774055425.12392,1774055425.998323,0.8744,874.4,EXTERNAL,0.8,1.0,0.94
"Well, that means you're ready to rejoin",what i mean you're ready to rejoin so,1774055429.46392,1774055433.239553,3.7756,3775.6,EXTERNAL,0.849,0.991,0.837
"To me, it's just a made up word.",to me it's just a made up wood,1774055436.22392,1774055437.600956,1.377,1377.0,EXTERNAL,0.966,0.938,0.724
