movie	channel	confidence	session_wer	error_type	reference_word	hypothesis_word
Iron Man	Deepgram	0.9632	0.1338	SUB	mr	mister
Iron Man	Deepgram	0.9632	0.1338	SUB	you	its
Iron Man	Deepgram	0.9632	0.1338	DEL	uh	
Iron Man	Deepgram	0.9632	0.1338	SUB	the	your
Iron Man	Deepgram	0.9632	0.1338	DEL	on	
Iron Man	Deepgram	0.9632	0.1338	DEL	the	
Iron Man	Deepgram	0.9632	0.1338	SUB	and	on
Iron Man	Deepgram	0.9632	0.1338	SUB	mr	mister
Iron Man	Deepgram	0.9632	0.1338	SUB	shark	strauss
Iron Man	Deepgram	0.9632	0.1338	SUB	but	if
Iron Man	Deepgram	0.9632	0.1338	DEL	do	
Iron Man	Deepgram	0.9632	0.1338	SUB	expect	expected
Iron Man	Deepgram	0.9632	0.1338	DEL	us	
Iron Man	Deepgram	0.9632	0.1338	INS		that
Iron Man	Deepgram	0.9632	0.1338	INS		when
Iron Man	Deepgram	0.9632	0.1338	SUB	to	you
Iron Man	Deepgram	0.9632	0.1338	INS		mm
Iron Man	Deepgram	0.9632	0.1338	INS		mm
Iron Man	Deepgram	0.9632	0.1338	DEL	uh	
Iron Man	Deepgram	0.9632	0.1338	INS		i
Iron Man	Deepgram	0.9632	0.1338	DEL	uh	
Iron Man	Notifications	0.8012	0.4268	SUB	mr	mister
Iron Man	Notifications	0.8012	0.4268	SUB	uh	its
Iron Man	Notifications	0.8012	0.4268	SUB	was	trying
Iron Man	Notifications	0.8012	0.4268	SUB	in	to
Iron Man	Notifications	0.8012	0.4268	SUB	front	do
Iron Man	Notifications	0.8012	0.4268	SUB	of	it
Iron Man	Notifications	0.8012	0.4268	DEL	you	
Iron Man	Notifications	0.8012	0.4268	DEL	i	
Iron Man	Notifications	0.8012	0.4268	SUB	ill	out
Iron Man	Notifications	0.8012	0.4268	DEL	stick	
Iron Man	Notifications	0.8012	0.4268	SUB	the	your
Iron Man	Notifications	0.8012	0.4268	SUB	cards	card
Iron Man	Notifications	0.8012	0.4268	INS		there
Iron Man	Notifications	0.8012	0.4268	SUB	theres	has
Iron Man	Notifications	0.8012	0.4268	DEL	on	
Iron Man	Notifications	0.8012	0.4268	DEL	the	
Iron Man	Notifications	0.8012	0.4268	DEL	freeway	
Iron Man	Notifications	0.8012	0.4268	DEL	and	
Iron Man	Notifications	0.8012	0.4268	DEL	the	
Iron Man	Notifications	0.8012	0.4268	DEL	rooftop	
Iron Man	Notifications	0.8012	0.4268	DEL	im	
Iron Man	Notifications	0.8012	0.4268	DEL	sorry	
Iron Man	Notifications	0.8012	0.4268	DEL	mr	
Iron Man	Notifications	0.8012	0.4268	DEL	shark	
Iron Man	Notifications	0.8012	0.4268	DEL	but	
Iron Man	Notifications	0.8012	0.4268	DEL	do	
Iron Man	Notifications	0.8012	0.4268	DEL	you	
Iron Man	Notifications	0.8012	0.4268	DEL	honestly	
Iron Man	Notifications	0.8012	0.4268	DEL	expect	
Iron Man	Notifications	0.8012	0.4268	DEL	us	
Iron Man	Notifications	0.8012	0.4268	SUB	bodyguard	body
Iron Man	Notifications	0.8012	0.4268	SUB	in	guard
Iron Man	Notifications	0.8012	0.4268	DEL	a	
Iron Man	Notifications	0.8012	0.4268	DEL	suit	
Iron Man	Notifications	0.8012	0.4268	DEL	that	
Iron Man	Notifications	0.8012	0.4268	SUB	i	that
Iron Man	Notifications	0.8012	0.4268	SUB	know	my
Iron Man	Notifications	0.8012	0.4268	SUB	that	modem
Iron Man	Notifications	0.8012	0.4268	SUB	its	is
Iron Man	Notifications	0.8012	0.4268	DEL	to	
Iron Man	Notifications	0.8012	0.4268	DEL	im	
Iron Man	Notifications	0.8012	0.4268	DEL	a	
Iron Man	Notifications	0.8012	0.4268	DEL	superhero	
Iron Man	Notifications	0.8012	0.4268	SUB	never	am
Iron Man	Notifications	0.8012	0.4268	DEL	said	
Iron Man	Notifications	0.8012	0.4268	DEL	youre	
Iron Man	Notifications	0.8012	0.4268	SUB	didnt	huh
Iron Man	Notifications	0.8012	0.4268	DEL	well	
Iron Man	Notifications	0.8012	0.4268	DEL	good	
Iron Man	Notifications	0.8012	0.4268	DEL	because	
Iron Man	Notifications	0.8012	0.4268	DEL	that	
Iron Man	Notifications	0.8012	0.4268	DEL	would	
